Category,Value
Batch Size,32
Number of Epochs,50
Learning Rate,0.001
Number of Classes,4
Device,cuda
Best Validation Accuracy,97.46%
Final Validation Accuracy,96.33%
Final Training Loss,0.0272
Final Validation Loss,0.1888
ROC-AUC (per class),"{'glioma': '1.00', 'meningioma': '0.98', 'notumor': '1.00', 'pituitary': '1.00'}"
Training Time (s),2301.87
Model Details,"MRIClassifier(
  (cnn_layers): Sequential(
    (0): Conv2d(3, 32, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (1): ReLU()
    (2): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (3): Conv2d(32, 64, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (4): ReLU()
    (5): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
    (6): Conv2d(64, 128, kernel_size=(3, 3), stride=(1, 1), padding=(1, 1))
    (7): ReLU()
    (8): MaxPool2d(kernel_size=2, stride=2, padding=0, dilation=1, ceil_mode=False)
  )
  (fc_layers): Sequential(
    (0): Flatten(start_dim=1, end_dim=-1)
    (1): Linear(in_features=100352, out_features=256, bias=True)
    (2): ReLU()
    (3): Dropout(p=0.5, inplace=False)
    (4): Linear(in_features=256, out_features=4, bias=True)
  )
)"
